,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,ra,dec,tfopwg_disp
0,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,10249.0,4.19,2.16986,9.604,112.357708,-12.69596,FP
1,1.9316462,3.166,1286.0,11.2154,44464.5,4045.0,7070.0,4.03,2.01,9.42344,122.580465,-5.513852,PC
2,1.8675574,1.408,1500.0,23.7529,2860.61,2037.0,8924.0,4.33,5.73,9.299501,104.726966,-10.580455,FP
3,2.74323,3.167,383.41,10.5098,1177.36,1631.0,5388.5,4.15,1.23369,9.3003,110.559945,-25.207017,FP
4,3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9219.0,4.14,2.15,9.1355,122.178195,-48.802811,FP
5,4.55072,2.599,3620.0,6.54449,254.05,1112.0,5613.0,4.33,1.09,9.1309,120.704811,-11.101521,FP
6,2.5047918,4.3797563,2270.5402194,8.6950898,1750.932635,1649.8220699,6616.0,4.33,1.53429,9.2386,124.359239,-27.273521,FP
7,6.9989206,3.953,2840.0,14.7752,448.744,1282.0,6596.0,3.71,2.7,8.87759,112.752393,-4.463359,PC
8,2.0483755,2.767,483.0,3.19621,5644.4,1185.0,6858.5,4.2,1.57,8.9362,109.382839,13.395219,FP
9,1.9600277,2.0065257,1707.6272693,10.5098,1063.3422958,1456.4246534,8868.7,4.33,1.23369,8.4331,111.667845,-24.462111,PC
10,1.4303691,1.6438728,19151.2162143,13.2504933,1281.241792,1525.9050967,5600.0,4.48851,0.890774,12.4069,318.737012,-55.871863,KP
11,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,9438.0,4.33,1.0,8.45086,112.293981,-21.832912,FP
12,2.4704981,2.191,250.0,1.44656,575.597,1364.0,5413.7,4.46,0.94,8.2388,113.984761,-32.841999,PC
13,0.884182,1.621,1890.0,24.8132,112144.0,5098.0,8928.0,3.92,2.72,8.12718,117.095285,6.785064,APC
14,5.4255548,3.9637474,14939.6342222,10.5098,273.5880696,1037.2753045,8868.7,4.33,1.23369,7.6095,107.286063,-31.933523,FP
15,1.4095184,0.9484999,2841.5103258,10.5098,1650.422071,1625.6180218,9307.0,4.33,1.23369,7.678,103.561602,-34.22282,FP
16,1.3730466,2.5708515,1301.5065338,42.1479417,3160.6328329,1912.3318636,4897.0,4.33,6.7996101,10.7069,122.895964,-27.971896,FP
17,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,7601.0,4.31,1.53641,10.6257,116.110771,-36.098285,FP
18,1.10422,2.37,14177.7,21.0448,39459.3,3926.0,6995.2,4.07,1.61,10.6019,124.726411,-37.78325,FP
19,4.95912,2.509,7440.0,22.9123,673.55,1419.0,5889.0,3.86,2.0,10.6254,111.716019,-50.266567,FP
20,5.2341008,3.7078139,20796.9416293,24.2931408,1453.6663847,1574.8381848,7645.0,4.3,1.56203,10.6348,120.147994,-54.878552,PC
21,4.4119378,3.65,15062.0,15.4706,653.252,1408.0,6280.0,4.32092,1.21,9.7109,87.139821,-63.988329,KP
22,3.28892,3.793,10518.9,10.5098,29832.6,3661.0,8734.2,4.1,1.23369,10.7173,128.381976,-43.828421,FP
23,1.90879,1.909,618.482,3.34688,985.807,1561.0,6022.6,4.52,1.22,10.5551,119.30075,-42.999149,FP
24,3.09574,4.475,380.0,3.4262,18087.9,3230.0,6084.0,4.13,1.41,8.72924,162.96491,-5.788708,FA
25,1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,5050.8,3.56,2.99,9.697,120.837688,-51.345626,FP
26,18.0157,2.524,610.0,21.644,7.64364,463.0,4709.0,4.33,7.61,10.0814,86.820714,-72.422611,FP
27,9.6837739,2.379,4765.0,10.5098,871.997,1513.0,8598.7,4.33,1.23369,5.5324,142.521159,-51.517114,PC
28,14.2694372,6.9350494,1246.3921871,3.7255381,51.2588496,682.4360542,5690.0,4.58,0.853898,9.9138,125.434634,-51.759442,FP
29,3.2834565,1.537,1558.0,2.87648,161.092,992.0,4272.0,4.6,0.68,10.2103,167.133275,-29.653135,PC
30,11.02875,2.715,1694.0,2.76586,15.0463,548.0,4272.0,4.6,0.68,10.2103,167.133275,-29.653135,PC
31,5.0113292,1.024,1210.0,2.52314,17.1793,567.0,4272.0,4.6,0.68,10.2103,167.133275,-29.653135,PC
32,1.01606,2.843,240.0,1.20704,2784.04,2023.0,4634.0,4.64,0.68,7.9059,157.098337,-51.705409,FP
33,36.22214,5.107,7170.0,10.5098,365.719,1185.0,5801.0,4.33,1.23369,6.841,88.73909,-65.958839,FP
34,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,6351.0,4.22896,1.4,11.5232,312.457488,-24.428694,KP
35,12.1246519,4.612,7279.0,17.6729,207.32,1057.0,4807.6,4.17,1.07,9.5706,155.831478,-57.590248,FP
36,5.6496834,2.5612882,1194.3338558,6.7892616,1226.2203257,1509.2524073,6415.4,3.98,1.9220001,9.7318,140.88389,-67.026006,FP
37,5.6643704,3.8087395,3491.8232968,14.7738943,7657.6621505,2385.8536488,10395.0,4.13,2.3383701,9.7611,159.221506,-42.541639,PC
38,29.0162503,6.507,1440.0,9.84223,159.189,1185.0,6113.1,4.33,2.01,10.0163,87.282586,-60.498444,FP
39,3.6344692,2.5339234,628.699015,4.2048368,5420.178349,2188.3820499,9810.0,4.43,1.60776,9.8174,134.441752,-49.000578,FP
40,6.0742782,2.5468064,6039.9909482,31.3717884,1487.6197932,1583.9546259,5964.0,3.7,2.4303801,10.1126,144.150273,-61.583182,PC
41,3.7795212,2.952,2761.0,5.98375,466.528,1294.0,5771.0,4.31,1.18,10.2855,157.867112,-42.240448,PC
