,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_disposition
0,9.48803557,170.53875,2.9575,615.8,2.26,93.59,793.0,5455.0,4.467,0.927,291.93423,48.141651,15.347,CONFIRMED
1,54.4183827,162.51384,4.507,874.8,2.83,9.11,443.0,5455.0,4.467,0.927,291.93423,48.141651,15.347,CONFIRMED
2,19.89913995,175.850252,1.7822,10829.0,14.6,39.3,638.0,5853.0,4.544,0.868,297.00482,48.134129,15.436,FALSE POSITIVE
3,1.736952453,170.307565,2.40641,8079.2,33.46,891.96,1395.0,5805.0,4.564,0.791,285.53461,48.28521,15.597,FALSE POSITIVE
4,2.525591777,171.59555,1.6545,603.3,2.75,926.16,1406.0,6031.0,4.438,1.046,288.75488,48.2262,15.509,CONFIRMED
5,11.09432054,171.20116,4.5945,1517.5,3.9,114.81,835.0,6046.0,4.486,0.972,296.28613,48.22467,15.714,CONFIRMED
6,4.13443512,172.97937,3.1402,686.0,2.77,427.65,1160.0,6046.0,4.486,0.972,296.28613,48.22467,15.714,CONFIRMED
7,2.56658897,179.55437,2.429,226.5,1.59,807.74,1360.0,6046.0,4.486,0.972,296.28613,48.22467,15.714,CONFIRMED
8,7.36178958,132.25053,5.022,233.7,39.21,767.22,1342.0,6227.0,3.986,1.958,298.86435,42.151569,12.66,FALSE POSITIVE
9,16.06864674,173.621937,3.5347,4914.3,5.76,30.75,600.0,5031.0,4.485,0.848,286.99948,48.37579,15.841,CONFIRMED
10,2.470613377,122.763305,1.74319,14231.0,13.04,761.46,1339.0,5820.0,4.457,0.964,286.80847,49.316399,11.338,CONFIRMED
11,2.204735417,121.3585417,3.88864,6674.7,16.1,4148.92,2048.0,6440.0,4.019,1.952,292.24728,47.969521,10.463,CONFIRMED
12,3.522498429,121.1194228,3.19843,9145.7,14.59,1264.67,1521.0,6225.0,4.169,1.451,281.28812,42.45108,13.563,CONFIRMED
13,3.709214104,133.98318,2.6302,131.1,1.16,500.46,1206.0,5833.0,4.407,1.022,295.64871,48.49556,12.772,CONFIRMED
14,11.521446064,170.839688,3.6399,17984.0,150.51,75.88,753.0,5795.0,4.554,0.848,297.07993,47.597401,15.472,FALSE POSITIVE
