,orbital_period,transit_duration,transit_depth,planet_radius,insolation_flux,equilibrium_temperature,stellar_teff,stellar_logg,stellar_radius,stellar_mag,ra,dec,target
0,5.5411114,2.467,633.0,2.04482,258.843,1117.0,5332.0,4.56429,0.82,9.2789,99.238421,-58.016153,CANDIDATE
1,6.685438,5.09,89.2,1.25,276.02,1040.0,5808.0,4.326,1.159,15.135,295.55374,46.02911,CANDIDATE
2,25.58546721,2.28,421.1,2.39,141.6,878.0,5767.0,4.438,1.0,15.161,289.11868,43.077389,FALSE POSITIVE
3,0.584148495,1.6192,66.2,0.87,4882.9,2130.0,5427.0,4.347,1.031,13.949,292.97867,42.056492,FALSE POSITIVE
4,2.5395579,3.082,24200.0,10.5098,199.853,1047.0,3931.6,4.33,1.23369,13.0427,184.044295,-66.055079,CANDIDATE
5,5.36652724,8.367,3122.5,7.97,219.72,982.0,5858.0,4.553,0.849,15.48,295.56024,43.203178,FALSE POSITIVE
6,11.47606,6.083,3050.0,10.5098,365.719,1185.0,5801.0,4.33,1.23369,10.0067,215.805264,-63.045983,FALSE POSITIVE
7,2.1077445,1.779,33127.0,12.0414,95.8765,871.0,3954.0,4.61,0.65,13.7607,171.596707,28.058028,CANDIDATE
8,1.7131374,2.608,3850.0,6.86542,1919.49,1844.0,5843.0,4.39,1.08,13.1675,112.491073,-13.625055,CANDIDATE
9,394.67816267,6.05443,253380.0,52.16,0.72,235.0,5780.0,4.505,0.83,15.207,285.60162,41.817532,CANDIDATE
10,78.9257421,7.5193,17972.0,11.9,5.94,398.0,5750.0,4.538,0.882,15.913,291.44522,44.52869,FALSE POSITIVE
11,12.98494603,3.4497,257.2,1.64,105.74,818.0,5948.0,4.384,1.025,13.029,286.43365,50.300331,CONFIRMED
12,1.434745129,1.862,200.7,1.5,1813.0,1664.0,5806.0,4.4,1.064,14.691,299.78546,43.67075,CONFIRMED
13,8.460438928,4.73492,76413.0,36.62,98.6,804.0,5951.0,4.638,0.702,14.813,291.04407,36.729271,FALSE POSITIVE
14,3.689920099,2.6557,426.7,1.89,408.99,1147.0,5880.0,4.518,0.917,15.242,291.62241,50.61824,CONFIRMED
15,588.63759,3.84,322.1,1.52,0.28,185.0,5135.0,4.479,0.849,13.714,285.33615,49.190769,FALSE POSITIVE
16,14.2563272,4.796,206.1,1.73,95.22,797.0,6140.0,4.455,1.027,15.192,292.54575,49.416969,CONFIRMED
17,23.58444746,5.5545,429.2,3.0,66.96,730.0,5655.0,4.152,1.354,13.971,285.42429,47.83461,CONFIRMED
18,1.82069,3.049,12340.0,15.6593,2440.7,1958.0,6155.0,4.24,1.35,12.0457,296.688442,-63.565649,CANDIDATE
19,70.31252504,13.66,421.1,2.39,141.6,878.0,5767.0,4.438,1.0,14.942,281.88324,47.41605,CANDIDATE
20,2.2088214,2.544,7770.0,11.6656,1052.08,1586.0,5960.4,4.27,1.26,11.8699,172.858645,-41.689518,CANDIDATE
21,4.1117723,2.129689,22083.0234602,15.2582047,268.7176849,1032.6277979,5424.8,4.49,0.916164,12.3353,163.788852,-0.737066,CANDIDATE
22,3.54553077,4.143,119.2,1.62,1039.47,1448.0,5794.0,4.118,1.496,15.024,293.51984,41.277409,CONFIRMED
23,1.6923573,1.9912433,20172.9323968,12.7696702,762.5979736,1340.2742114,5287.0,4.5,0.88876,12.9577,334.133015,66.860571,CANDIDATE
24,2.9902369,3.042,6460.0,140.194,129.684,940.0,5801.0,4.33,17.34,12.048,216.568723,-63.050473,CANDIDATE
25,29.1598615,4.803,488.0,1.91,17.85,524.0,5485.0,4.556,0.867,15.403,285.28363,38.947281,CONFIRMED
26,372.37369,12.33,666.1,2.68,1.2,267.0,6109.0,4.455,1.029,15.423,291.26672,47.114769,FALSE POSITIVE
27,5.4454541,3.41,5731.0,7.92255,289.299,1148.0,5684.0,4.4,1.05,13.228,27.889954,43.666558,CANDIDATE
28,0.907105,1.711,1430.0,7.82059,28442.1,3617.0,6164.0,4.4,1.13,12.4537,335.467524,-57.758448,FALSE POSITIVE
29,4.57797412,2.862,125.4,0.96,259.36,1024.0,5795.0,4.554,0.848,15.302,297.39319,47.164631,CANDIDATE
30,0.948951607,4.3809,458460.0,115.31,2796.38,1853.0,5780.0,4.438,1.0,18.241,293.24536,38.272182,FALSE POSITIVE
31,174.95980475,5.23,421.1,2.39,141.6,878.0,5767.0,4.438,1.0,15.246,291.97382,48.26231,FALSE POSITIVE
32,71.3116598,8.813,2138.0,4.94,12.01,475.0,6194.0,4.445,1.069,15.674,295.8093,40.008511,CONFIRMED
